,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armidale Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ballina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Balranald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bathurst Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bayside (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bega Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bellingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Berrigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blacktown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Blayney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Blue Mountains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bourke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brewarrina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Broken Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Burwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Byron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Cabonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Campbelltown (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Canada Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Canterbury-Bankstown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Carrathool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Central Coast (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Central Darling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Cessnock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Clarence Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Cobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Coffs Harbour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Coolamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Coonamble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cootamundra-Gundagai Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cowra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dubbo Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dungog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Edward River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Eurobodalla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Georges River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Gilgandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Glen Innes Severn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Goulburn Mulwaree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Greater Hume Shire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Griffith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Gunnedah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Gwydir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Hawkesbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Hilltops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Hornsby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Hunters Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Inner West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Inverell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Junee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Kempsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Kiama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ku-ring-gai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Kyogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Lachlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Lake Macquarie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Lane Cove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Leeton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Lismore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Lithgow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Liverpool Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Lockhart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Maitland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Mid-Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Mid-Western Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Moree Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Mosman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Murray River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Murrumbidgee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Muswellbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
